Titre original	Titre français	Réalisateur	Couleur et Format	Année et Pays	Vu ? fois et Prod.	Genre	Acteurs	Actrices	Appréciation	Scénario	D'après	Photographie	Musique	DVD
Satyricon	Satyricon	FELLINI Federico	Coul.	1969 / I	 / PEA (A. Grimaldi)	com.	Martin Potter, Hiram Keller, Salvo Randone, Max Born, Mario Romagnoli, Fanfulla, Gordon Mitchell, Salvo Randone, Joseph Wheeler, Alain Cuny, Silvio Belusci, Pasquale Fasciano, Lorenzo Piani, Luigi Zerbinati, Gennaro Sabatino, Pasquale Baldassarre, 	Capucine, Donuale Luna, Lucia Bose, Tanya Lopert, Magali Noël, Hylette Adolphe, Patricia Hartley, Sibilla Sedat, 	Exc.	F. Fellini + Bernandino Zapponi		Giuseppe Rotunno	Nino Rota + divers	
Clowns (I)	Clowns (Les)	FELLINI Federico	Coul.	1971 / I - F	 / RAI-ORTF	doc.	Pierre Étaix, Billi Scotti, Victor Fratellini, Jean-Baptiste Thierrée, 	Anita Ekberg, Annie Fratellini, Joséphine Chaplin, 	Exc.	F. Fellini + Bernardino Zapponi		Daro di Palma	Nino Rota	
Roma	Fellini Roma	FELLINI Federico	Coul.	1972 / I - F		com. dr.	Peter Gonzales, Renato Giovannoli, Paolo Natale, Mario del Vago, Alfredo Adami, Stefano Mayore, Gore Vidal, Federico Fellini, 	Britta Barnes, Pia de Poses, Fiona Florence, Marne Maitland, Elisa Mainardi, Paule Rout, Marcelle Ginette Bron, Anna Magnani, 	TExc.	F. Fellini + Bernardino Zapponi		Giuseppe Rotunno	Nino Rota	
Amarcord	Amarcord	FELLINI Federico	Coul.	1974 / I	 / Franco Cristaldi	com.	Armando Brancia, Puppela Maggio, Ciccio Ingrassia, Bruno Zanin, Peppino Ianigro, Luigi Rossi, Gennaro Ombra, Nando Orfei, Francesco Maselli, 	Magali Noel, Pupella Maggio, Dina Adorni, 	Exc.	F. Fellini + Tonino Guerra		Giuseppe Rotunno	Nino Rota	
Casanova	Casanova	FELLINI Federico	Coul. / scope	1976 / I	 / Alberto Grimaldi	com. dr.	Donald Sutherland, Daniel Emilfork, Luigi Zerbinati, Hans Van Den Hoek, Dudley Sutton, John Karlsen, Reggie Nalder, Vim Hiblom, Harold Innocent, Misha Bayard, Nicolas Smith, Donald Hodson, Dan Van Husen, Gabriele Carrara, Mario Cenclli, Marcello Di Folco, 	Tina Aumont, Cicely Browne, Carmen Scarpitta, Clara Algranti, Daniela Gatti, Margareth Clementi, Olimpa Carlisi, Silvana Fusacchia, Chesty Morgan, Adele-Angela Lojodice, Sandra-Elaine Allen, Clarissa-Mary Roll, Allessandra Belloni, Marica Rivera, Angelica Hansen, Marjorie Bell, Marie Marquet, 	Bon.	F. Fellini + Barnardino Zapponi		Giuseppe Rotunno	Nino Rota	
Voce della luna (La)	Casanova	FELLINI Federico	Coul. / Panavision / 120mn	1990 / I - F	 / Cecchi Gori Group Tiger Cinematografica - Films A2 - La Sept Cinéma (Mario & Vittorio Cecchi Gori)	com	Roberto Benigni, Paolo Villaggio, Angelo Orlando, Sim, Syusy Blady, Dario Ghirardi, Dominique Chevalier, Nigel Harris, Vito, Stefano Antonucci, Ferruccio Brembilla, Stefano Cedrati, Giampaolo Cocchi, Roberto Corbiletto, Giordano Falzoni, Mario Falcione, Francesco Gabriele	Nadia Ottaviani, Marisa Tomasi, Daniela Airoldi, 	Bon+B-. Un poème visuel de 2h qui s’avère longuet et assez stérile, passés quelques jolis moments. Fondé sur le souvenir, le prétexte est un peu léger et la ligne directrice manque, alors les séquences et les personnages se croisent d’une manière décousue et moins poétique que Fellini l’espère, même si son imagination visuelle, sur ce film qui sera sont dernier, reste unique. Qu’on partage avec lui son déplaisir face au monde moderne ne fait pas pour autant apprécier le méli-mélo narratif du film !	Ermanno Cavazzoni + Federico Fellini + Tullio Pinelli	rom. “Il poema dei lunatici” d’Ermanno Cavazzoni	Tonino Delli Colli	Nicola Piovani	
Luci del varietà	Feux du music-hall (Les)	FELLINI Federico + LATTUADA Alberto	NB / 93mn	1950 / I	 / Capitolium (FELLINI Federico + LATTUADA Alberto)	com. dr.	Peppino De Filippo, John Kitzmiller, Dante Maggio, Checco Durante, Giulio Cali, Silvio Bagolini, Giacomo Furia, Mario De ANgelis, Enrico Piergentili, Renato Malavasi,	Giulietta Masina, Carla Del Poggio, Gina Mascetti, Vanja Orico, 	Bon+B-. L’histoire démarre bien, avec un sens du dérisoire intéressant, mais le scenario s’étiole doucement pour continuer sur un demi-rythme peu intéressant. Ce n’est ni très drôle, ni trés triste, ni dérisoire ni pathétique, mais l’Italie d’après guerre est bien croquée.	Ennaio Flaiano + Tullio Pinelli + Alberto Lattuada + F. Fellini	hist. de F. Fellini	Otello Martelli	Felice Lattuada	
Histoires extraordinaires : Il ne faut jamais parier sa tête avec le Diable		FELLINI Federico + VADIM Roger + MALLE Louis	Coul.	1968 / F - I	 / Marceau-Cocinor	dr.	Terence Stamp, Salvo Randone, Fabrizio Angeli, Ernesto Colli, Aleardo Ward, Paul Cooper, Rico Boido, Polidor, Andrea Fantasia, Mimmo Poli, Peter Dane, David Bresson, 	Anne Tomietti, Marina Yaru, Milena Vukotic, Marie-Ange Aniès, Antnia Pietrosi, Brigitte, Monica Pardo, Marlene Alexandre, Marisa Traversi, 	TB.	Federico Fellini + Bernardine Zapponi	nouv. d'Edgar Allan Poe	Giuseppe Rottuno	Nino Rota	
Cruel sea (The)		FEND Charles	NB	1952 / UK	 / (Michael Bacon + Leslie Norman)	gu.	Jack Hawkins, Donald Sinden, Denholm Elliott, John Stratton, Stanley Baker, Liam Redmond, Meredith Edwards, Bruce Seton, John Warner, Barry Letts, Gerard Heinz, Fred Griffiths, Glyn Houston, Alec McCowen, Leo Phillips, Dafydd Havard, Sam Kydd, John Singer, Barry Steele, Gaston Richer, 	Virginia McKenna, Meg Jenkins, June Thorburn, Moira Lister, 	Bon+. Le scenario d'Ambler est solide mais sans éclat, la réalisation assez plate et surtout fauchée (Hollywood aurait pu dégager bien plus de moyens sur un tel sujet) mais la sobriété britannique et quelques jolis moments maintiennent l'intérêt.	Eric Ambler	rom. de Nicholas Montsarrat	Gordon Dines	Alan Rawsthorne	
Man from Dakota (The)		FENTON Leslie	NB / 75mn	1940 /USA	 / MGM (Edward Chodorov)	western, av., esp.	Wallace Beery, John Howard, Donald Meek, Robert Barrat, Addison Richards, Frederick Burton, William Haade, John Wray, 	Dolores del Rio, 	"Bon+. Sorte de western à la direction très pâle, à tous points de vue. Le scénario est assez cahotique, malgré le sujet linéaire (la fuite de 2 Yankees d'un camp de prisonniers, avec une belle russe et un plan secret...), et Beery présente un personnage à la personnalité au moins aussi cahotique, mais qu'on pourrait aussi qualifier de riche en contradictions. Lui s'en sort comme à l'accoutumé ; les autres sont anonymes."	Laurence Stallings	rom. de MacKinlay Kantor	Ray June	David Snell	
Golden fleecing (The)		FENTON Leslie	NB / 68mn	1940 /USA	 / MGM (Edgar Selwyn)	com. pol.	Lew Ayres, Lloyd Nolan, Leon Errol, Nat Pendleton, George Lessey, Richard Carle, Ralph Byrd, Marc Lawrence, Thurston Hall, James Burke, Spencer Charters, William Desmarest, Eddie Dunn, Arthur O'Connell, Emory Parnell, Harry Tyler, Herb Vigran, 	Rita Johnson, Virginia Grey, 	Bon+B-. Un démarrage très vif et drôle, et le reste est plutôt à l'avenant, dans un style mineur, mais sur une allure très sympathique. Une comédie policière agréable et presque élégante.	S. J. Perelman + Laura Perelman + Marion Parsonnet	hist. de Lynn Root + John Fante + Frank Fenton	Leonard Smith	David Snell	
Pardon my past		FENTON Leslie	NB / 88mn	1945 /USA	 / COL / Mutual Prod. (Fred MacMurray + Leslie Fenton)	com.	Fred MacMurray, Akim Tamiroff, William Demarest, Harry Davenport, Douglas Dumbrille, Dewey Robinson, Hugh Prosser, Tom Moffat, Herbert Evans, Frank Moran, Charles Arnt, Jimmie Dundee, Edward Gargan, Bert Moorhouse, 	Marguerite Chapman, Rita Johnson, Karolyn Grimes,	Bon+. Une histoire de confusion entre 2 frères jumeaux qui s'ignorent, assez amusante et sympathique malgré un scenario improbable mais gentiment arrangé, et grâce à un Tamiroff délectable en bookmaker-truand-bibliophile et à une mise en scène modeste mais alerte.	Earl Fenton + Karl Kamb	hist. de Patterson McNutt + Harlan Ware	Russell Metty	Dimitri Tiomkin	 
Whispering Smith	Smith le taciturne	FENTON Leslie	Coul. / 88mn	1947 /USA	 / PAR (Mel Epstein)	western	Alan Ladd, Robert Preston, Donald Crisp, William Demarest, Murvyn Vye, Frank Faylen, John Eldredge, Robert Wood, J. Farrell MacDonald, Will Wright, Don Barclay, Eddy C. Waller, Ashley Cowan, Jimmie Dundee, Ray Teal, Bob Kortman, 	Brenda Marshall, Fay Holden, 	"B-. Technicolor magnifique au début prometteur, dur et rythmé ;Fenton essaye de garder le rythme mais sans grand succès, probablement à cause du scenario, pas assez serré, qui reprend les thèmes des rôles de Preston dans ""Union Pacific"" (1939) et ""Blood on the moon"" (1948). Ladd est à son apogée, pas encore empâté, dans un rôle qui s!nspire du William S. Hart du temps du muet. Les couleurs splendides et les personnages entretiennent l'intérêt dans ce film standard mais assez animé."	Frank Rutler + Karl Kamb	rom. de Frank H. Spearman	"Ray Rennahan
Cons. coul. : Natalie Kalmus"	Adolph Deutsch	
Streets of Laredo	Chevauchée de l'honneur (La)	FENTON Leslie	Coul. / 92mn	1949 /USA	 / PAR (Robvert Felows)	western	William Holden, Macdonald Carey, William Bendix, Stanley Ridges, Alfonso Bedoya, Ray Teal, Clem Bevans, James Bell, Dick Foole, Joe Dominguez, Grandon Rhodes, Pery Ivins, Hank Bell, Byron Foulger, Hank Worden, 	Mona Freeman, 	"Bon. Ce remake du “The Texas rangers” de Vidor n'a pas plus de rythme et éventuellement moins d'envergure, en se limitant à considérer l'affrontement des 4 anciens amis, et ce, fort platement. Seule la fin se résout dans les ""Streets of Laredo"" et justifie le titre, mais le Technicolor est splendide et les paysages généreux. 
Remake en 1951 par Phil Karlson (""The Texas rangers)."	Charles Marquis Warren	"scenario de ""The Texas rangers"" de K. Vidor"	Ray Rennahan	Victor Young	
